what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350487552127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487554081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487559248
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350487566836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487572832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487655234
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1350487656222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350487664176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487666334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487681253
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1350487682877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350487688744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350487690363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487691804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487704504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487722271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487724339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487726061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487747280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487751934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487759187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487760243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487789878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350487793914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1350487797082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487798992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487830557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487838794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487863891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487867374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350487868970
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1350487886611
